Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Roll,Pitch,Yaw
4.029999999999778,0.0,0.0,0.9982325226984126,0.0,0.0,-0.0033963953916005033,0.0,-0.0,0.0
4.031999999999778,0.0,0.0,0.9982257299076294,0.0,0.0,-0.00336226434780367,0.0,-0.0,0.0
4.033999999999778,0.0,0.0,0.9982190053789337,0.0,0.0,-0.003328271638979601,0.0,-0.0,0.0
4.0359999999997775,0.0,0.0,0.9982123488356558,0.0,0.0,-0.0032944170439258686,0.0,-0.0,0.0
4.037999999999777,0.0,0.0,0.9982057600015679,0.0,0.0,-0.0032607003403975557,0.0,-0.0,0.0
4.039999999999777,0.0,0.0,0.9981992386008871,0.0,0.0,-0.0032271213051168995,0.0,-0.0,0.0
4.041999999999777,0.0,0.0,0.9981927843582769,0.0,0.0,-0.003193679713782892,0.0,-0.0,0.0
4.043999999999777,0.0,0.0,0.9981863969988493,0.0,0.0,-0.003160375341080855,0.0,-0.0,0.0
4.045999999999776,0.0,0.0,0.9981800762481671,0.0,0.0,-0.003127207960691973,0.0,-0.0,0.0
4.047999999999776,0.0,0.0,0.9981738218322457,0.0,0.0,-0.0030941773453027612,0.0,-0.0,0.0
4.049999999999776,0.0,0.0,0.9981676334775551,0.0,0.0,-0.003061283266614535,0.0,-0.0,0.0
4.051999999999776,0.0,0.0,0.9981615109110219,0.0,0.0,-0.0030285254953528276,0.0,-0.0,0.0
4.053999999999776,0.0,0.0,0.9981554538600312,0.0,0.0,-0.0029959038012767718,0.0,-0.0,0.0
4.055999999999775,0.0,0.0,0.9981494620524287,0.0,0.0,-0.0029634179531884334,0.0,-0.0,0.0
4.057999999999775,0.0,0.0,0.9981435352165223,0.0,0.0,-0.002931067718942125,0.0,-0.0,0.0
4.059999999999775,0.0,0.0,0.9981376730810845,0.0,0.0,-0.0028988528654536557,0.0,-0.0,0.0
4.061999999999775,0.0,0.0,0.9981318753753535,0.0,0.0,-0.002866773158709578,0.0,-0.0,0.0
4.0639999999997745,0.0,0.0,0.9981261418290361,0.0,0.0,-0.0028348283637763786,0.0,-0.0,0.0
4.065999999999774,0.0,0.0,0.9981204721723086,0.0,0.0,-0.002803018244809636,0.0,-0.0,0.0
4.067999999999774,0.0,0.0,0.998114866135819,0.0,0.0,-0.002771342565063123,0.0,-0.0,0.0
4.069999999999774,0.0,0.0,0.9981093234506889,0.0,0.0,-0.0027398010868979134,0.0,-0.0,0.0
4.071999999999774,0.0,0.0,0.9981038438485151,0.0,0.0,-0.002708393571791409,0.0,-0.0,0.0
4.073999999999773,0.0,0.0,0.9980984270613715,0.0,0.0,-0.00267711978034636,0.0,-0.0,0.0
4.075999999999773,0.0,0.0,0.9980930728218108,0.0,0.0,-0.0026459794722998252,0.0,-0.0,0.0
4.077999999999773,0.0,0.0,0.9980877808628662,0.0,0.0,-0.0026149724065321184,0.0,-0.0,0.0
